"x"
2.85714285714286
1
1
1
1.5
2
2.5
1
4
1.2
6.5
1
1.33333333333333
1
1
2.22222222222222
1
1
NA
1.5
3
1.6
1
1
1
1.33333333333333
1
1
1
1
1
2.14285714285714
1
1
1.4
NA
1.1
1.66666666666667
1
1.2
1
1.33333333333333
1
1
1
1
1.28571428571429
1
1
1.5
1.57142857142857
1
1.14285714285714
1.66666666666667
NA
1
NA
1.22222222222222
2
1.16666666666667
1.16666666666667
1
2.25
1.5
1
1
1
1
2
1
2.14285714285714
1.6
1
1.71428571428571
1
1
2
1.25
1
1.375
1.14285714285714
1.4
1.625
1
1.5
1
1.5
2.4
2
1
1.42857142857143
1.33333333333333
1
2
1
2
1
1
1.66666666666667
3.16666666666667
1.5
1.16666666666667
1.2
1.4
7
1.5
1
1.2
9.6
2.7
2.14285714285714
1.14285714285714
1
4.6
1.83333333333333
1.28571428571429
1
11.5
4.88888888888889
3.52631578947368
1.5
1
1.2
NA
3
8.2
1.75
1
2.42857142857143
6.57142857142857
8.33333333333333
1.66666666666667
4
1.22222222222222
1.2
1.2
1.33333333333333
1
8.83333333333333
1.25
1.875
6.3
1
6.5
3
1.14285714285714
1.83333333333333
1
1
1.33333333333333
1
2
2
1
1.5
1
1
1.6
1
1
1
1
1
1.8
1.1
1.25
1.75
NA
1.5
1.14285714285714
3.4
1.33333333333333
1
1.23076923076923
1
11.5
18
1
1
1
1
2.14285714285714
3
2.75
1
1.16666666666667
2
1
10.5
1.5
2.5
1
1
1.5
1
1
1.14285714285714
4.6
4.66666666666667
1.33333333333333
1.2
1
2
1
1
1
1
1
1
1.2
1
1.33333333333333
2.71428571428571
2
2.5
1.5
1.09090909090909
1
1
1
1
1.2
4.125
2.4
1.1
1.33333333333333
1
1
1.75
1.6
1.25
4.85714285714286
1
1.16666666666667
1
2.25
1.33333333333333
1.16666666666667
1
3
1
1.16666666666667
13.8
3.5
1.25
1.07692307692308
1.5
1
1
1.4
2
1.375
1.66666666666667
3.66666666666667
1.66666666666667
1
1
1
1.2
1
2
1
1
1.83333333333333
1
1
1
1
1
1.8
1
1
1
1.66666666666667
1.2
1.15384615384615
1.1
1.88888888888889
2
1.6
1
1.875
1.71428571428571
2.75
1.6
1.2
1.14285714285714
1
1
2
2.83333333333333
1
1.25
1
2.16666666666667
1
1
1
1.25
1.66666666666667
1
1.66666666666667
1
1.5
3
1
1
1
3.33333333333333
1
2.4
1.66666666666667
NA
1.25
1.66666666666667
1
1.33333333333333
7
1
2
8.5
2.75
1.8
1.2
1.25
1
1
7
1
1.33333333333333
1
1
1
1
1.5
2.5
1
1.33333333333333
4.2
1
2
1.28571428571429
1.33333333333333
1.8
1.1
2
2
2
1
2
2.5
1
5.8
1.8
2
2.77777777777778
1
6.25
3.6
2.5
6.33333333333333
3.5
1
1.4
1
1.5
4.6
1
1
1
2.8
NA
1.14285714285714
1
1
1
1
1.25
1
1
1
1
1.4
1.66666666666667
1.25
1.25
1.25
7.57142857142857
2.5
3.5
1.4
2.16666666666667
1.125
1
5
1
1.5
1.125
1
1
1.5
1.2
1.25
1
1.5
1.16666666666667
2
1.71428571428571
1
1
1
2
1.5
1
3
1
1
1.25
1
1
1.33333333333333
1.27272727272727
2.28571428571429
2.375
1
1.42857142857143
1
1
1
5.25
1
1.33333333333333
1
11.3333333333333
5.5
NA
1.875
1.71428571428571
1.71428571428571
3.42857142857143
2.6
3.75
1
1
1
1
1.33333333333333
1
2
2.8
1
1.28571428571429
1.375
2
2.5
1.25
1.4
1
2.25
1.5
1
1
1
1
1.8
1
1.33333333333333
1
1.07142857142857
1
1
1.4
1.16666666666667
1
1
1.25
1
1
1.2
2
1.33333333333333
1.375
1.66666666666667
1
1.71428571428571
1.2
3.77777777777778
2.42857142857143
1
1.8
1.5
3
1.16666666666667
6.25
1
1
1
1
1
1
1.5
1.4
1
2
1.25
7
1
1
1.66666666666667
1
1.1
3
1
1
1.66666666666667
1.08333333333333
1.83333333333333
3
2.33333333333333
1.25
1.16666666666667
2.5
1.16666666666667
3.1
1.16666666666667
1.6
1.5
1
1
1
1
1
1
NA
2
1.2
1
1
1
1.33333333333333
1.5
1
1
1
1
1.75
1.2
1.42857142857143
1.25
1.25
1
1.66666666666667
1.5
1.2
2
1.25
1
1.5
1
1
2.33333333333333
2.5
1
1.27272727272727
1.4
2.66666666666667
1.18181818181818
2.33333333333333
7.83333333333333
1.5
4
1
5.33333333333333
1
1.33333333333333
1
1.25
1.16666666666667
1.28571428571429
1
1
2.5
1.16666666666667
1
1.5
1.125
1
1
1.11111111111111
1
1
1
1.5
1
1
1
1
2.375
1
2.42857142857143
1
6.11111111111111
1.44444444444444
1.2
1
1.33333333333333
1
5.42857142857143
2.5
1.66666666666667
1
2
10.3333333333333
1
1.25
1
1.25
1.71428571428571
2.5
1
1
1.2
1.16666666666667
1.5
1.5
1.33333333333333
3
1
1
1.66666666666667
1
1.66666666666667
1.1
1.83333333333333
1.5
1
1
1.8
1
1
1
1.33333333333333
1.33333333333333
1.75
1.83333333333333
1.6
1.66666666666667
1.33333333333333
1
1
1
1
1
1
2.4
1.16666666666667
1.5
4.33333333333333
3
1.5
1.125
1
1
1.16666666666667
1.14285714285714
1
3
1.16666666666667
5.66666666666667
1
1.09090909090909
2
3
1
1
4.66666666666667
1.2
2.33333333333333
1
1
1
2.25
1
1.25
1.6
1.25
1
5.33333333333333
1.5
1.5
1
1
3.16666666666667
4.5
1.5
1
1.75
1
1
1.16666666666667
1
1
1
1.16666666666667
7.75
1
2.66666666666667
1.375
1.6
1.57142857142857
1
2
1
1
1
1
2.8
2
2
1.5
2.16666666666667
1
1.6
1.57142857142857
1
10.6666666666667
1.33333333333333
1
1
1
11.3333333333333
1.57142857142857
1.33333333333333
1
3.88888888888889
1.2
1
1
4
1.35714285714286
5
3.14285714285714
2
8
1
1
1.25
1
2.5
2.25
2.14285714285714
1
1
2
2.75
5
1
1.14285714285714
6.2
1.2
2.5
1
2.33333333333333
2.6
1.4
1.5
1
2
1
1
1
1
2.66666666666667
1.25
5.4
3.57142857142857
1
1.5
1
3.75
1.5
1.8
2.25
1.28571428571429
1
3
1.2
8
1
1.4
